"Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000_01_em","2001_09_em","2002_02_em","2003_07_em","2004_05_em","2005_07_em","2006_07_em","2007_04_em","2008_03_em","2009_05_em","2010_06_em","2011_09_em","2013_08_em","2014_04_em","2015_05_em","2016_03_em","2017_04_em","2018_12_em","2019_06_em","2020_04_em","2021_11_em","2022_03_em","2023_04_em","AlwaysEm","AlwaysSub","Affected","NeverSub","NeverEm"
1320,10,"tell","Tell el Abr","2",NA,88,90,90,92,93,92,95,91,92,93,95,93,93,95,92,92,95,92,91,91,100,95,100,0,0,1,0,0
1457,14,"tell","Tell Qumluq","1",NA,46,46,48,56,57,57,58,57,55,61,56,54,62,64,58,59,67,73,74,67,84,65,93,0,0,1,0,0
1525,16,"tell and lower town","Tell Shioukh Fawqani","1",NA,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,0,0,1,0,0
547,2,"low mound","Duluk (Aushariye)","3",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,64,100,100,100,100,100,100,100,100,100,0,0,1,0,0
314,0,"flat site","Wadi Amarna","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
393,1,"flat site","Mughar Seraisat","5",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,"flat site","Near Mughar Seraisat","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,"flat site","Khirbet Seraisat S","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
110,0,"flat site","Mishirfe-2","5",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
183,0,"low mound","Meshirfe","5",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,"flat site","Near LCP 15_1","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,"flat site","Near LCP 15_2","4",NA,100,100,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
314,0,"flat site","Near Kirk Mughara","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
392,0,"-","ReS_2","5",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
