Shape_Leng,Shape_Area,Type,Name,Certainty,Note,2000_08_em,2001_06_em,2002_07_em,2003_10_em,2004_09_em,2005_08_em,2006_09_em,2007_09_em,2008_07_em,2009_08_em,2010_08_em,2011_06_em,2013_03_em,2014_06_em,2015_08_em,2016_06_em,2017_06_em,2018_03_em,2019_03_em,2020_08_em,2021_05_em,2022_09_em,2023_02_em,AlwaysEm,AlwaysSub,Affected,NeverSub,NeverEm
484,1,low mound,ReS_14,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
308,0,low mound,ReS_15,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
392,0,uncertain,ReS_2,5,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
523,1,uncertain,ReS_3,ReS_3,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
501,1,low mound,ReS_4,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
547,1,flat site,ReS_5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
353,0,low mound,ReS_6,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
140,0,low mound,ReS_7,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
478,1,low mound,ReS_8,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
299,0,low mound,ReS_9,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
314,0,rock-cut tombs,Rock-cut Tomb,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0
483,1,flat site,Sandaliye Kebir,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14,14,17,0,0,1,0,0
596,2,low mound,Sandaliyeh Saghir Maqbara,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
472,1,rock-cut tombs,Serai,2,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
361,0,low mound,Tannira Maqbara,2,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,100,0,0,1,0,0
3519,71,tell + lower town,Tell Ahmar,1,NA,32,35,35,38,39,41,43,44,43,44,44,43,47,64,44,48,78,80,50,53,91,94,94,0,0,1,0,0
961,6,tell,Tell Aushariye,1,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,100,0,0,1,0,0
517,2,tell,Tell Banat,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,6,23,0,0,1,0,0
1887,25,low mound,Tell Banat village,1,NA,1,5,5,3,3,3,5,6,4,5,5,3,3,10,3,1,11,15,2,4,20,25,28,0,0,1,0,0
1431,12,tell + lower town,Tell Bazi,1,NA,71,75,74,71,71,73,77,77,74,74,75,71,78,81,72,76,84,83,68,70,86,90,90,0,0,1,0,0
1045,5,tell,Tell Dja'da Mughara,2,NA,97,99,99,97,96,97,99,100,97,97,99,97,97,100,97,99,99,93,92,94,100,100,99,0,0,1,0,0
1320,10,tell,Tell el Abr,2,NA,91,94,93,93,92,93,99,98,99,95,98,94,99,100,93,99,100,100,94,96,100,100,100,0,0,1,0,0
728,3,tell,Tell el Kebir,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,22,tell,Tell Halula,3,NA,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
462,1,tell,Tell Jurn Kebir,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,19,19,16,0,0,1,0,0
0,3,tell,Tell Khamis,3,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
701,3,tell,Tell Kosak Shamali,2,NA,67,75,69,69,69,72,72,72,81,72,81,69,81,81,75,81,83,95,90,84,99,88,91,0,0,1,0,0
1241,7,tell,Tell Mresh,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
617,2,tell,Tell Nejem,2,NA,33,33,37,27,30,33,30,30,30,33,30,33,33,33,30,37,37,51,37,31,59,36,37,0,0,1,0,0
876,5,tell,Tell Qadahiye,2,based only on Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,11,25,0,0,1,0,0
1903,14,tell + lower town,Tell Qara Qozak,1,NA,5,7,7,6,5,5,7,5,8,7,8,8,7,24,9,9,40,48,9,11,74,70,80,0,0,1,0,0
2096,29,tell,Tell Qitar,1,NA,60,62,63,53,60,63,61,62,63,63,64,63,48,67,65,74,68,88,68,68,94,82,69,0,0,1,0,0
1457,14,tell,Tell Qumluq,1,NA,47,60,57,56,58,61,64,69,68,64,65,63,74,99,65,77,99,99,69,78,100,100,100,0,0,1,0,0
486,1,tell,Tell Saghir,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1525,16,tell + lower town,Tell Shioukh Fawqani,1,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0
854,5,tell,Tell Suleiman Shah,1,NA,43,52,50,50,58,58,60,60,65,63,65,65,67,77,67,73,85,91,73,76,95,91,96,0,0,1,0,0
940,6,tell,Um Ruthah Tahtani,2,NA,28,29,28,28,28,28,30,39,39,30,30,30,41,49,28,39,64,65,32,38,68,77,78,0,0,1,0,0
314,0,flat site,Wadi Amarna,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
1691,19,tell + lower town,Yusef Pasha,1,NA,17,19,23,18,17,21,22,21,22,21,22,23,25,26,26,37,25,51,29,35,62,57,47,0,0,1,0,0
