"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.08_em","2000.08_sb","2001.06_NA","2001.06_em","2001.06_sb","2002.07_em","2002.07_sb","2003.10_NA","2003.10_em","2003.10_sb","2004.09_NA","2004.09_em","2004.09_sb","2005.08_NA","2005.08_em","2005.08_sb","2006.09_NA","2006.09_em","2006.09_sb","2007.09_NA","2007.09_em","2007.09_sb","2008.07_em","2008.07_sb","2009.08_em","2009.08_sb","2010.08_em","2010.08_sb","2011.06_em","2011.06_sb","2013.03_NA","2013.03_em","2013.03_sb","2014.06_em","2014.06_sb","2015.08_em","2015.08_sb","2016.06_NA","2016.06_em","2016.06_sb","2017.06_NA","2017.06_em","2017.06_sb","2018.03_em","2018.03_sb","2019.03_em","2019.03_sb","2020.08_em","2020.08_sb","2021.05_em","2021.05_sb","2022.09_em","2022.09_sb","2023.02_em","2023.02_sb"
"20",20,472.566016404,1.59,"flat site?","Serai","2",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"21",21,1691.92303582,19.96,"tell + lower town","Yusef Pasha","1",NA,17,83,0,19,81,23,77,0,18,82,0,17,83,0,21,79,0,22,78,0,21,79,22,78,21,79,22,78,23,77,0,25,75,26,74,26,74,0,37,63,18,25,56,51,49,29,71,35,65,62,38,57,43,47,53
"22",22,2096.96332645,29.46,"tell","Tell Qitar","1",NA,60,40,0,62,38,63,37,8,53,39,0,60,40,0,63,37,3,61,37,0,62,38,63,37,63,37,64,36,63,37,19,48,32,67,33,65,35,0,74,26,0,68,32,88,12,68,32,68,32,94,6,82,18,69,31
"23",23,314.159265359,0.78,"sherd scatters","Jurn Kebir East","4",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"24",24,1035.44968009,6.51,"tell and low mound","Jebel Ahmar","2",NA,30,70,0,31,69,32,68,0,28,72,0,28,72,0,28,72,0,28,72,0,28,72,28,72,28,72,30,70,30,70,0,31,69,35,65,32,68,0,45,55,80,4,15,43,57,38,62,40,60,49,51,51,49,51,49
"25",25,314.159265359,0.78,"-","Jerf el Ahmar","4",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,5,95,0,100,0,100
"26",26,1431.31391586,12.52,"tell and lower town","Tell Bazi","1",NA,71,29,0,75,25,74,26,0,71,29,0,71,29,0,73,27,0,77,23,0,77,23,74,26,74,26,75,25,71,29,0,78,22,81,19,72,28,0,76,24,0,84,16,83,17,68,32,70,30,86,14,90,10,90,10
"27",27,517.085040658,2.04,"tell","Tell Banat","1",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,19,81,0,100,0,100,2,98,6,94,23,77
"28",28,486.310944393,1.68,"tell","Tell Saghir","1",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"29",29,728.031662712,3.55,"tell","Tell el Kebir","1",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
