date,water level,error
2018-11-18,323.507,0
2018-12-19,324.264,"0,006"
2019-01-15,323.435,"0,003"
2019-02-11,323.236,"0,003"
2019-02-17,323.638,0
2019-03-10,324.336,"0,001"
2019-03-24,324.863,"0,001"
2019-04-06,324.557,"0,001"
2019-05-03,324.727,"0,001"
2019-05-19,325.175,0
2019-05-30,325.095,0
2019-06-23,325.590,0
2019-06-26,325.127,"0,001"
2019-07-23,325.311,0
2019-08-19,325.219,"0,001"
2019-09-15,325.172,"0,017"
2019-09-21,325.440,0
2019-10-12,325.249,"0,005"
2019-11-08,325.082,"0,001"
2019-11-17,325.488,0
2019-12-05,324.662,"0,004"
2019-12-21,325.380,0
2020-01-01,325.133,"0,004"
2020-01-28,325.277,"0,021"
2020-02-16,326.870,"0,001"
2020-02-24,325.298,"0,002"
2020-03-22,324.954,"0,002"
2020-04-18,325.036,"0,001"
2020-05-15,323.098,0
2020-05-16,323.172,"0,001"
2020-06-11,322.992,"0,006"
2020-06-20,323.220,0
2020-07-08,323.100,"0,009"
2020-08-04,322.766,"0,023"
2020-08-15,324.537,0
2020-08-31,324.571,"0,001"
2020-09-19,324.895,0
2020-09-27,324.593,"0,003"
2020-10-24,324.383,"0,006"
2020-11-14,324.156,0
2020-11-20,323.707,"0,008"
2020-12-17,324.292,"0,001"
2021-01-13,322.719,"0,109"
2021-02-09,322.265,"0,001"
2021-05-01,321.412,"0,003"
2021-05-15,321.751,"0,001"
2021-05-28,321.590,"0,014"
2021-06-18,322.018,"0,03"
2021-06-24,321.421,"0,003"
2021-08-13,322.897,0
2021-09-13,322.568,"0,001"
2021-09-17,322.772,0
2021-10-10,321.806,"0,016"
2021-11-06,322.572,"0,005"
2021-11-12,323.333,0
2021-12-03,323.159,"0,012"
2021-12-30,324.039,"0,042"
2022-01-26,323.512,0
2022-02-22,322.864,0
2022-03-18,323.643,0
2022-03-21,323.281,"0,004"
2022-04-17,322.370,0
2022-05-13,321.286,"0,001"
2022-06-10,322.646,"0,004"
2022-06-16,322.976,0
2022-07-07,322.339,"0,007"
2022-08-03,321.524,"0,006"
2022-08-12,321.646,"0,001"
2022-08-30,321.508,"0,001"
2022-09-26,321.191,"0,021"
2022-10-23,321.402,0
2022-11-19,321.753,"0,016"
2022-12-16,321.900,"0,001"
2023-03-07,321.624,"0,002"
